1 ; WHAT ARE PATIENTS CF OF PHYSICAL MUCUS PROPERTIES CALCIUM ON THE FROM EFFECTS
2 ; GLANDS SUBMUCOSAL CAN TRACT CF OF MUCUS HYPERSECRETION RESPIRATORY BETWEEN AND DISTINGUISH IN ON THE ONE EFFECTS INFECTION
3 ; DIFFERENT ARE THOSE PATIENTS CF OF NORMAL SUBJECTS SALIVARY GLYCOPROTEINS FROM HOW
4 ; WHAT CF OF RESPIRATORY SECRETIONS IS COMPOSITION THE LIPID
5 ; MUCUS ABNORMAL IS CF
6 ; ELASTICITY WHAT OTHER PATIENTS BRONCHIAL EFFECT OF PHYSICAL SPUTUM VISCOSITY CF SECRETIONS THERAPEUTIC IS AGENTS PROPERTIES ON THE WATER OR FROM
7 ; AS ARE DEGRADED PATIENTS CF THOSE TO MUCUS DIFFERENTLY IN NORMAL SUBJECTS GLYCOPROTEINS COMPARED FROM
8 ; WHAT BEEN CF RESPIRATORY DIFFERENCES BETWEEN HAVE AND NORMAL EPITHELIA HISTOCHEMICAL DESCRIBED
9 ; WHAT LIVER DISEASE CF VITAMIN METABOLISM BETWEEN AND ASSOCIATION IS CIRRHOSIS IN THE
10 ; WHAT PATIENTS CF OF VITAMIN IS IN THERAPY WITH THE ROLE
11 ; WHAT ILEUS SYNDROME BETWEEN MECONIUM AND IS PLUG DIFFERENCE THE
12 ; AMINO WHAT ACID BEEN CF PATIENTS OF ABNORMALITIES HAVE IN THE SMALL TRANSPORT BOWEL DESCRIBED
13 ; FEATURES WHAT ARE PATIENTS CLINICAL PANCREATITIS OF CF BIOCHEMICAL IN THE OR
14 ; WHAT CAN EXOCRINE PATIENTS CF OF BE TESTS FUNCTION NON-INVASIVE IN EVALUATION WITH PERFORMED FOR THE PANCREATIC
15 ; HEPATIC WHAT ARE COMPLICATIONS MANIFESTATIONS CF OF THE OR
16 ; WHAT ARE COMPLICATIONS CF PERIOD OF AFTER LIVER DISEASE ILEUS NEONATAL MECONIUM AND EXCLUDE THE GASTROINTESTINAL
